"","term","estimate","std.error","statistic","p.value","genotype","species","treatment","rate.type","fragment.ID2"
"1","lnc",0.526145684384301,0.0807543251383383,6.51538705181392,0.0073450260114039,"SF3","OFRA","shallow","R","SF"
"2","E",0.0871268780584223,0.119721072477227,0.727748893788061,0.519422538244157,"SF3","OFRA","shallow","R","SF"
"3","Eh",8.75088707861773,49.5190089608176,0.17671773450761,0.870987036442213,"SF3","OFRA","shallow","R","SF"
"4","Th",311.078078917358,7.81870930025954,39.7863722733663,3.49366225081502e-05,"SF3","OFRA","shallow","R","SF"
"5","lnc",0.54619830044049,0.062743377477077,8.70527412458854,0.000958848367546745,"SF2","OFRA","shallow","R","SF"
"6","E",0.154248655636516,0.102397507161939,1.50637119898413,0.206440186821929,"SF2","OFRA","shallow","R","SF"
"7","Eh",5.57908685056587,16.009562522184,0.348484653645913,0.745044933513176,"SF2","OFRA","shallow","R","SF"
"8","Th",312.426788558752,5.8885098252898,53.0570208470997,7.55356550995251e-07,"SF2","OFRA","shallow","R","SF"
"9","lnc",5.91330860372332,8.08510743633753,0.731382810962619,0.505085114259682,"SF1","OFRA","shallow","R","SF"
"10","E",3.38715655697692,6.96395986022835,0.48638369906771,0.652140948657103,"SF1","OFRA","shallow","R","SF"
"11","Eh",3.27982071870153,6.89402881054179,0.475748043536791,0.659071336727856,"SF1","OFRA","shallow","R","SF"
"12","Th",287.933576606528,7.19522786531045,40.017297853027,2.32999170766941e-06,"SF1","OFRA","shallow","R","SF"
"13","lnc",2.3509222462629,4.48837782645393,0.523779935015021,0.628111406368428,"MF3","OFRA","deep","R","MF"
"14","E",1.16066312845068,2.63777627020681,0.440015759319754,0.68265643382456,"MF3","OFRA","deep","R","MF"
"15","Eh",1.31959450662656,2.07835091085376,0.634923823371335,0.559980605184282,"MF3","OFRA","deep","R","MF"
"16","Th",291.313167348036,17.2002952597371,16.9365213183258,7.12570218012474e-05,"MF3","OFRA","deep","R","MF"
"17","lnc",0.501978560153642,0.0424186682349359,11.8339066510394,0.000291905242231507,"MF2","OFRA","deep","R","MF"
"18","E",0.115862729252989,0.0675753498191751,1.714570913255,0.161573623152046,"MF2","OFRA","deep","R","MF"
"19","Eh",55.6823137299413,182612958.509283,3.04919838025135e-07,0.999999771310121,"MF2","OFRA","deep","R","MF"
"20","Th",310.621654404467,1016726.29953614,0.000305511576268051,0.999770866322255,"MF2","OFRA","deep","R","MF"
"21","lnc",1.2599685617611,2.57311510387052,0.489666614550526,0.657940904980654,"MF1","OFRA","deep","R","MF"
"22","E",0.16506214239906,0.0698131776348768,2.36434077334706,0.0990098064162123,"MF1","OFRA","deep","R","MF"
"23","Eh",3.19714560611085e-08,0.146465697290966,2.182863062987e-07,0.999999839536603,"MF1","OFRA","deep","R","MF"
"24","Th",301.634742594191,1268394319.86606,2.37808335996051e-07,0.999999825185857,"MF1","OFRA","deep","R","MF"
"25","lnc",1.18711838145248,0.339860079836642,3.49296210965137,0.0396819002413977,"SF3","OFRA","shallow","GP","SF"
"26","E",0.100349118172933,0.461386645969936,0.21749463069521,0.841775739982167,"SF3","OFRA","shallow","GP","SF"
"27","Eh",4.09420414388826,3.38883946065471,1.20814343418241,0.313541156663211,"SF3","OFRA","shallow","GP","SF"
"28","Th",307.659617335583,3.56312953815758,86.3453360426149,3.42408414344679e-06,"SF3","OFRA","shallow","GP","SF"
"29","lnc",1.31009188494293,0.369492501090397,3.54565216094173,0.0238917087020235,"SF2","OFRA","shallow","GP","SF"
"30","E",0.389873276593315,0.506687874513172,0.769454522605079,0.484542625420641,"SF2","OFRA","shallow","GP","SF"
"31","Eh",3.49353711314943,1.89200745768924,1.84647111138567,0.138554976956148,"SF2","OFRA","shallow","GP","SF"
"32","Th",306.264842634617,4.02523066732389,76.0862837304756,1.78823997524993e-07,"SF2","OFRA","shallow","GP","SF"
"33","lnc",1.89925425053772,0.334490165388057,5.67805707630989,0.00474777904334835,"SF1","OFRA","shallow","GP","SF"
"34","E",1.08550648619205,0.321355986063231,3.37789409025809,0.027839609973498,"SF1","OFRA","shallow","GP","SF"
"35","Eh",2.5365531145027,0.150991539334097,16.799306276957,7.3586096868902e-05,"SF1","OFRA","shallow","GP","SF"
"36","Th",299.85259485485,1.92026675787625,156.151531356235,1.00889862035342e-08,"SF1","OFRA","shallow","GP","SF"
"37","lnc",1.46847185725442,0.364565822003335,4.02800199202708,0.0157596077744862,"MF3","OFRA","deep","GP","MF"
"38","E",0.470736656227851,0.446149353764077,1.05511002595058,0.350887748273307,"MF3","OFRA","deep","GP","MF"
"39","Eh",3.00151149619152,0.879144376435958,3.41412807343387,0.0269250153076056,"MF3","OFRA","deep","GP","MF"
"40","Th",304.562049507467,3.56639914064454,85.3976342794947,1.12712215209876e-07,"MF3","OFRA","deep","GP","MF"
"41","lnc",1.31917124108666,0.191697918279225,6.88151051888405,0.00233680263881071,"MF2","OFRA","deep","GP","MF"
"42","E",0.420910669740622,0.219751114104978,1.91539720494681,0.127947859806828,"MF2","OFRA","deep","GP","MF"
"43","Eh",2.6561994790259,0.443498041151609,5.98920227951555,0.00390825011497493,"MF2","OFRA","deep","GP","MF"
"44","Th",305.239528300292,2.18687976889878,139.577645118551,1.58029870062409e-08,"MF2","OFRA","deep","GP","MF"
"45","lnc",1.26508055259586,0.0680995171295509,18.5769386615356,0.000340436680031637,"MF1","OFRA","deep","GP","MF"
"46","E",0.280205857735576,0.0905181786643917,3.09557551720607,0.0534800332761481,"MF1","OFRA","deep","GP","MF"
"47","Eh",3.98504283852691,0.454765892154697,8.76284459163293,0.00312997104142924,"MF1","OFRA","deep","GP","MF"
"48","Th",306.608348201203,0.646095395865685,474.555847577876,2.0634873740873e-08,"MF1","OFRA","deep","GP","MF"
"49","lnc",32.323748403458,18442.3695911645,0.00175268954695192,0.998760662287822,"SA3","PAST","shallow","R","SA"
"50","E",30.3086052642569,18920.0332258922,0.00160193192593231,0.998867263798877,"SA3","PAST","shallow","R","SA"
"51","Eh",30.2771646442323,18919.9988372447,0.00160027307108659,0.998868436784132,"SA3","PAST","shallow","R","SA"
"52","Th",292.179870374395,365.836153441089,0.798663192869605,0.508257708739686,"SA3","PAST","shallow","R","SA"
"53","lnc",36.8938199724346,76264.8206729785,0.000483759348633813,0.999637180506214,"SA2","PAST","shallow","R","SA"
"54","E",32.6971846015215,75451.6198122758,0.000433352984109186,0.999674985274634,"SA2","PAST","shallow","R","SA"
"55","Eh",32.5967447406856,75451.5780212597,0.000432022041096357,0.999675983481777,"SA2","PAST","shallow","R","SA"
"56","Th",291.698607552177,1851.23608025785,0.157569642609573,0.882430086895444,"SA2","PAST","shallow","R","SA"
"57","lnc",5.91446682457865,10.3070804886572,0.573825617359586,0.596808777122666,"SA1","PAST","shallow","R","SA"
"58","E",3.26289472819148,9.05193807074109,0.360463660123598,0.736729247099606,"SA1","PAST","shallow","R","SA"
"59","Eh",3.23047292620804,8.96674751229888,0.360272542722665,0.736861581205993,"SA1","PAST","shallow","R","SA"
"60","Th",287.764843358548,10.4553071190654,27.5233276346138,1.03641842049197e-05,"SA1","PAST","shallow","R","SA"
"61","lnc",1.1329935953608,241.286675606327,0.00469563266398244,0.996548232952917,"MA3","PAST","deep","R","MA"
"62","E",0.0948474411719287,6.09062560272996,0.0155726927508754,0.988553049549977,"MA3","PAST","deep","R","MA"
"63","Eh",2.99632946429645e-06,12.1672289498225,2.46262273575461e-07,0.999999818971324,"MA3","PAST","deep","R","MA"
"64","Th",8155.72881281775,102585571531.043,7.95017144331039e-08,0.999999941557877,"MA3","PAST","deep","R","MA"
"65","lnc",0.36842011596863,0.0409332770031502,9.00050381845256,0.000843651016159087,"MA2","PAST","deep","R","MA"
"66","E",0.106480194288717,0.0674139818913003,1.57949717998274,0.189369794139145,"MA2","PAST","deep","R","MA"
"67","Eh",5.2126749003035,7.56121914586953,0.689396088083365,0.528482222303613,"MA2","PAST","deep","R","MA"
"68","Th",312.417417010658,2.43347903962172,128.383031833807,2.20772562520285e-08,"MA2","PAST","deep","R","MA"
"69","lnc",5.29291555060424,45.0869528923557,0.117393507679283,0.912206743694595,"MA1","PAST","deep","R","MA"
"70","E",1.62680067744505,28.3383293253372,0.0574063720824406,0.956974755110602,"MA1","PAST","deep","R","MA"
"71","Eh",1.52126625669646,28.0831094554454,0.0541701501790603,0.959397205306828,"MA1","PAST","deep","R","MA"
"72","Th",277.386097824691,192.573390401756,1.44041758441286,0.223177024523214,"MA1","PAST","deep","R","MA"
"73","lnc",2.37424840399971,0.225829531694435,10.5134540473309,0.00892614268368386,"SA3","PAST","shallow","GP","SA"
"74","E",1.32790955362934,0.18495615307074,7.17959111704411,0.0188530660040809,"SA3","PAST","shallow","GP","SA"
"75","Eh",2.28867737292275,0.120980698055942,18.9177067887677,0.00278257823899645,"SA3","PAST","shallow","GP","SA"
"76","Th",296.148011936671,0.841896575573026,351.762936837107,8.08154840091074e-06,"SA3","PAST","shallow","GP","SA"
"77","lnc",1.19813942677971,0.373136477191144,3.21099517205859,0.0325580745894169,"SA2","PAST","shallow","GP","SA"
"78","E",0.400283582648586,0.377586614530086,1.06011062692661,0.348863011793552,"SA2","PAST","shallow","GP","SA"
"79","Eh",2.24812304343846,0.623891096297085,3.60339016982533,0.0226895768533657,"SA2","PAST","shallow","GP","SA"
"80","Th",305.057578420245,4.62598717253903,65.944319999662,3.16793436442794e-07,"SA2","PAST","shallow","GP","SA"
"81","lnc",1.06697045234703,0.0879101645441487,12.1370544336906,0.00026442020047573,"SA1","PAST","shallow","GP","SA"
"82","E",0,0.139912750693945,0,1,"SA1","PAST","shallow","GP","SA"
"83","Eh",5.64366492542338,2.73686133143203,2.06209385203685,0.108195326786021,"SA1","PAST","shallow","GP","SA"
"84","Th",308.671244910204,0.840049587861855,367.44407636203,3.2912798031627e-10,"SA1","PAST","shallow","GP","SA"
"85","lnc",1.09050897184569,0.311584646950047,3.49988031348836,0.0394844426527302,"MA3","PAST","deep","GP","MA"
"86","E",0.128839275268699,0.383188495241534,0.336229497671867,0.758841976276424,"MA3","PAST","deep","GP","MA"
"87","Eh",3.10227286310371,1.82314762643995,1.7016026667909,0.187385288036704,"MA3","PAST","deep","GP","MA"
"88","Th",307.107197745566,3.70506773244129,82.8884166020929,3.87045213207338e-06,"MA3","PAST","deep","GP","MA"
"89","lnc",0.850793747075586,0.172707388603313,4.92621510843263,0.00789419018316858,"MA2","PAST","deep","GP","MA"
"90","E",0.16667998121363,0.261950111025191,0.636304296880413,0.55916661392992,"MA2","PAST","deep","GP","MA"
"91","Eh",3.93051519619167,2.50270142696044,1.57050903230008,0.191387414568833,"MA2","PAST","deep","GP","MA"
"92","Th",308.588828082701,2.18633144998178,141.144577179857,1.51129464304688e-08,"MA2","PAST","deep","GP","MA"
"93","lnc",1.1442917139826,0.0503923341096951,22.7076545311771,2.22775752534423e-05,"MA1","PAST","deep","GP","MA"
"94","E",0.225481253586916,0.0792277198318321,2.84598943482811,0.0465843668795366,"MA1","PAST","deep","GP","MA"
"95","Eh",5.09786874509367,0.930185968957063,5.48048338205904,0.00539689456728494,"MA1","PAST","deep","GP","MA"
"96","Th",307.903198653107,0.491610400850247,626.315468754493,3.89916234117997e-11,"MA1","PAST","deep","GP","MA"
"97","lnc",0.397160638818431,0.401783992951406,0.988492935970364,0.378869704245264,"SC3","MCAV","shallow","R","SC"
"98","E",0.15718409989901,0.316130622080145,0.497212509388479,0.645128038379985,"SC3","MCAV","shallow","R","SC"
"99","Eh",1.58988556394026,4.41758225175915,0.359899481963724,0.737119928880625,"SC3","MCAV","shallow","R","SC"
"100","Th",315.762301526087,5.70357031269179,55.362217736396,6.37313744796809e-07,"SC3","MCAV","shallow","R","SC"
"101","lnc",8.5889887466416,15.8985341399449,0.540237777334568,0.626560919260525,"SC2","MCAV","shallow","R","SC"
"102","E",6.52268320540602,15.2917804345076,0.426548316812533,0.698465607582398,"SC2","MCAV","shallow","R","SC"
"103","Eh",6.42969857439527,15.2309316178447,0.422147425759707,0.701344720265296,"SC2","MCAV","shallow","R","SC"
"104","Th",290.575326701362,4.02060112363571,72.2716125688695,5.83805606085052e-06,"SC2","MCAV","shallow","R","SC"
"105","lnc",0.334895548375811,0.0410009195719478,8.16800091003182,0.00122318145017821,"SC1","MCAV","shallow","R","SC"
"106","E",0.0974664697867448,0.0735990391412382,1.32428997611918,0.256007169051979,"SC1","MCAV","shallow","R","SC"
"107","Eh",87.145367691665,397203633.708343,2.19397206611795e-07,0.999999835452095,"SC1","MCAV","shallow","R","SC"
"108","Th",309.379868190374,1152333.51447662,0.000268481185614819,0.999798639113813,"SC1","MCAV","shallow","R","SC"
"109","lnc",9.9086828595826,387.832989980405,0.0255488396180099,0.980840975595006,"MC3","MCAV","deep","R","MC"
"110","E",3.86175375050079,350.354135237032,0.0110224294852068,0.99173338712294,"MC3","MCAV","deep","R","MC"
"111","Eh",3.76630844241984,350.286338763251,0.0107520848678183,0.991936130565088,"MC3","MCAV","deep","R","MC"
"112","Th",281.739537646477,906.849668981254,0.310679429329208,0.771560220427207,"MC3","MCAV","deep","R","MC"
"113","lnc",0.378809027163024,0.042810323441269,8.84854391914856,0.00304255825158587,"MC2","MCAV","deep","R","MC"
"114","E",0.127133197463437,0.0645040054854947,1.97093492887082,0.143316265661236,"MC2","MCAV","deep","R","MC"
"115","Eh",88.7914002349972,838295292.415989,1.05919001380883e-07,0.999999922138392,"MC2","MCAV","deep","R","MC"
"116","Th",309.47997218,3466258.88193054,8.92835713435329e-05,0.999934367183092,"MC2","MCAV","deep","R","MC"
"117","lnc",57.057663250332,2945407.25863525,1.93717398784335e-05,0.999985471195092,"MC1","MCAV","deep","R","MC"
"118","E",53.2795504764427,2891452.38650847,1.84265702333697e-05,0.999986180072326,"MC1","MCAV","deep","R","MC"
"119","Eh",53.2891322400352,2891452.36409339,1.84298841999923e-05,0.999986177586851,"MC1","MCAV","deep","R","MC"
"120","Th",292.110963100816,17966.9394539669,0.0162582483148692,0.987806985209939,"MC1","MCAV","deep","R","MC"
"121","lnc",0.97341499358618,0.121519772850124,8.01034243856542,0.00131740694946958,"SC3","MCAV","shallow","GP","SC"
"122","E",0.310398643831311,0.161894224001681,1.91729288518711,0.12766882948551,"SC3","MCAV","shallow","GP","SC"
"123","Eh",3.30076321480854,0.862870973356603,3.82532651662674,0.0186927613789559,"SC3","MCAV","shallow","GP","SC"
"124","Th",307.003376521629,1.46136531388463,210.079829871934,3.07998230890317e-09,"SC3","MCAV","shallow","GP","SC"
"125","lnc",0.845592297168892,0.12441085127887,6.79677285764628,0.00651197957362615,"SC2","MCAV","shallow","GP","SC"
"126","E",0.0856731391137161,0.179492532995367,0.477307538558874,0.665760073335153,"SC2","MCAV","shallow","GP","SC"
"127","Eh",6.31793501017362,5.23448940597207,1.20698209895419,0.313927727422579,"SC2","MCAV","shallow","GP","SC"
"128","Th",309.398138008352,1.07424113237107,288.015538304187,9.23005191252985e-08,"SC2","MCAV","shallow","GP","SC"
"129","lnc",0.923817305936081,0.0901218878547278,10.2507540390768,0.000510580970821887,"SC1","MCAV","shallow","GP","SC"
"130","E",0.075426594901824,0.147343126975058,0.511911186156599,0.635679940205497,"SC1","MCAV","shallow","GP","SC"
"131","Eh",6.17094679246865,3.87506062970894,1.59247748155418,0.186494682835056,"SC1","MCAV","shallow","GP","SC"
"132","Th",308.904891188982,0.755418321770207,408.918982088111,2.14577831260177e-10,"SC1","MCAV","shallow","GP","SC"
"133","lnc",1.21578974302887,0.193996072216748,6.26708432359649,0.00330786280165846,"MC3","MCAV","deep","GP","MC"
"134","E",0.340328247071361,0.239863992139861,1.41883841770181,0.228944340215473,"MC3","MCAV","deep","GP","MC"
"135","Eh",2.89847626542269,0.823622303131186,3.51918137039694,0.0244681240669291,"MC3","MCAV","deep","GP","MC"
"136","Th",306.289459604381,2.34402954423914,130.667917713384,2.05733879491557e-08,"MC3","MCAV","deep","GP","MC"
"137","lnc",0.838818335023482,0.0255953170387615,32.7723361954523,6.24445808342505e-05,"MC2","MCAV","deep","GP","MC"
"138","E",0.0246911302308996,0.0381105909357055,0.647881064677133,0.563225917595265,"MC2","MCAV","deep","GP","MC"
"139","Eh",110.167199062096,543467349.543012,2.02711716085121e-07,0.999999850985565,"MC2","MCAV","deep","GP","MC"
"140","Th",309.24920772811,34769.758673559,0.00889420057905899,0.993461941892494,"MC2","MCAV","deep","GP","MC"
"141","lnc",0.944865268545145,0.0821391386030174,11.5032283587941,0.000326063937480251,"MC1","MCAV","deep","GP","MC"
"142","E",0.123157878824928,0.113741848044314,1.0827842253534,0.339813180103284,"MC1","MCAV","deep","GP","MC"
"143","Eh",3.42511775973648,0.90845866680046,3.77025161948154,0.0196002034321785,"MC1","MCAV","deep","GP","MC"
"144","Th",308.370519336229,1.07542820779968,286.742078271458,8.87463138046886e-10,"MC1","MCAV","deep","GP","MC"
"145","lnc",75.0707494996964,2150719.87296257,3.49049406403113e-05,0.999973821294526,"SL3","DLAB","shallow","R","SL"
"146","E",69.9180602115488,2089977.84721553,3.34539719187456e-05,0.999974909521067,"SL3","DLAB","shallow","R","SL"
"147","Eh",69.7912576833934,2089977.85077975,3.33933001526092e-05,0.999974955024891,"SL3","DLAB","shallow","R","SL"
"148","Th",292.085354872,8390.00312439983,0.0348134977474033,0.973896467288003,"SL3","DLAB","shallow","R","SL"
"149","lnc",1.31336778066595,4.08725393429227,0.32133256259092,0.764048074557429,"SL2","DLAB","shallow","R","SL"
"150","E",0.531205247725439,1.7908401660054,0.296623483105324,0.781518272790943,"SL2","DLAB","shallow","R","SL"
"151","Eh",0.87835309952983,0.475453301393811,1.84740141030655,0.13840565752608,"SL2","DLAB","shallow","R","SL"
"152","Th",299.046497204511,66.885795155599,4.47100160069604,0.0110661463730971,"SL2","DLAB","shallow","R","SL"
"153","lnc",87.1123402884,995885.348633052,8.74722581349048e-05,0.999935698688833,"SL1","DLAB","shallow","R","SL"
"154","E",83.8971549875962,997433.924605599,8.4112995275121e-05,0.999938168100396,"SL1","DLAB","shallow","R","SL"
"155","Eh",83.7920185542345,997433.915169165,8.40075891544388e-05,0.999938245584983,"SL1","DLAB","shallow","R","SL"
"156","Th",292.338936428713,3004.46494445884,0.0973014968831225,0.928623223934262,"SL1","DLAB","shallow","R","SL"
"157","lnc",0.523310042808979,0.0497018623926043,10.5289825696119,0.000460182358002547,"ML3","DLAB","deep","R","ML"
"158","E",0.108580307537767,0.0794089969724048,1.36735523275151,0.243310182665179,"ML3","DLAB","deep","R","ML"
"159","Eh",5.44238728769523,22.629094057439,0.240503984555499,0.821763147757703,"ML3","DLAB","deep","R","ML"
"160","Th",313.405458184388,11.5849432872979,27.0528262773644,1.11008157658657e-05,"ML3","DLAB","deep","R","ML"
"161","lnc",1.16614835647907,0.507653163570614,2.2971359978866,0.0832008044278238,"ML2","DLAB","deep","R","ML"
"162","E",0.0538938818551709,0.0371653878259723,1.45010949724324,0.220634320582906,"ML2","DLAB","deep","R","ML"
"163","Eh",7.56184828006704e-09,0.0268892138563578,2.81222363750106e-07,0.999999789083227,"ML2","DLAB","deep","R","ML"
"164","Th",29433.5262181552,169699161986.703,1.73445324499962e-07,0.999999869916007,"ML2","DLAB","deep","R","ML"
"165","lnc",38.0659898848263,672016.331934218,5.66444416243034e-05,0.999959946331243,"ML1","DLAB","deep","R","ML"
"166","E",34.6472675988277,674264.015062692,5.13853132079224e-05,0.999963665096601,"ML1","DLAB","deep","R","ML"
"167","Eh",34.5409281944268,674263.97644568,5.12276043227255e-05,0.999963776613623,"ML1","DLAB","deep","R","ML"
"168","Th",291.938449163151,12975.9859154338,0.0224983635976297,0.984093267310202,"ML1","DLAB","deep","R","ML"
"169","lnc",1.36816583537789,0.262356201362786,5.21491707941752,0.00644986601179565,"SL3","DLAB","shallow","GP","SL"
"170","E",0.29479413869508,0.350649407595918,0.840709073818813,0.447829651762976,"SL3","DLAB","shallow","GP","SL"
"171","Eh",3.39849061276245,1.75659564817484,1.9347028533821,0.125136870611929,"SL3","DLAB","shallow","GP","SL"
"172","Th",306.654818881409,3.02202289280491,101.473360645784,5.65538199168108e-08,"SL3","DLAB","shallow","GP","SL"
"173","lnc",1.35282514090175,0.0888716149792724,15.2222409958149,0.00010860356702773,"SL2","DLAB","shallow","GP","SL"
"174","E",0.363547963672458,0.128021279379336,2.83974637212647,0.0468796727690172,"SL2","DLAB","shallow","GP","SL"
"175","Eh",3.73915758941896,0.599312441334638,6.23907887026682,0.00336297446889238,"SL2","DLAB","shallow","GP","SL"
"176","Th",306.831688508315,0.98072943497228,312.860690794895,6.26206645095657e-10,"SL2","DLAB","shallow","GP","SL"
"177","lnc",1.91230023314282,0.795631803110608,2.4034989874292,0.0955733939496879,"SL1","DLAB","shallow","GP","SL"
"178","E",0.907724363290217,0.770592382200116,1.17795657504241,0.323748614638962,"SL1","DLAB","shallow","GP","SL"
"179","Eh",2.42686737892213,0.407190898572002,5.96002363371341,0.0094487621176896,"SL1","DLAB","shallow","GP","SL"
"180","Th",300.218775553556,4.93023663091477,60.8933805876681,9.75751002891621e-06,"SL1","DLAB","shallow","GP","SL"
"181","lnc",1.20371573952498,0.128824138547499,9.34386795127804,0.000730448266327081,"ML3","DLAB","deep","GP","ML"
"182","E",0.219671442000797,0.193868416702008,1.1330955590278,0.320486210489992,"ML3","DLAB","deep","GP","ML"
"183","Eh",4.05847478980621,1.38988814610059,2.92000100957224,0.0432434228604387,"ML3","DLAB","deep","GP","ML"
"184","Th",307.869398892655,1.50484730233392,204.585141904544,3.42440971558607e-09,"ML3","DLAB","deep","GP","ML"
"185","lnc",1.23073949522306,0.0380059387908388,32.3828205375031,5.42171406010243e-06,"ML2","DLAB","deep","GP","ML"
"186","E",0.176663229166606,0.0604784151706149,2.92109554571202,0.0431961514925895,"ML2","DLAB","deep","GP","ML"
"187","Eh",5.55365956920519,0.808706561277839,6.867335860896,0.00235488803805431,"ML2","DLAB","deep","GP","ML"
"188","Th",307.908301876513,0.350686009458828,878.017068179227,1.00956819657838e-11,"ML2","DLAB","deep","GP","ML"
"189","lnc",1.22177223947602,0.160619676279992,7.60661624884757,0.00471535272531262,"ML1","DLAB","deep","GP","ML"
"190","E",0,0.236000794856161,0,1,"ML1","DLAB","deep","GP","ML"
"191","Eh",5.75272824818438,4.0558101997846,1.41839187851786,0.251112365611581,"ML1","DLAB","deep","GP","ML"
"192","Th",308.491100104817,1.37072203156231,225.057373414512,1.93446172546764e-07,"ML1","DLAB","deep","GP","ML"
