,temp.Cat,treatment,genotype,fragment.ID,species,chamber.channel,run,individual.ID,NP,R,GP,Temp.C
1,19,deep,121,MA1h,PAST,2,1901,MA1,1.058441217,-0.412524041,1.470965259,19.40125649
2,19,deep,221,MC1h,MCAV,9,1901,MC1,0.948819258,-0.347138089,1.295957347,19.31301948
3,19,deep,322,MF2h,OFRA,3,1901,MF2,1.096388464,-0.53935115,1.635739614,19.42178204
4,19,deep,422,ML2h,DLAB,6,1901,ML2,1.363209246,-0.544479138,1.907688384,19.33331665
5,19,shallow,112,SA2h,PAST,5,1901,SA2,0.815611119,-0.29901642,1.114627539,19.33914494
6,19,shallow,211,SC1h,MCAV,4,1901,SC1,0.798732387,-0.266605679,1.065338067,19.40493434
7,19,shallow,313,SF3h,OFRA,7,1901,SF3,1.993354563,-0.843830738,2.837185301,19.49571969
8,19,shallow,413,SL3h,DLAB,8,1901,SL3,1.20551522,-0.483027135,1.688542355,19.21786769
9,19,deep,123,MA3h,PAST,2,1902,MA3,1.441664825,-0.433613554,1.875278379,19.48951679
10,19,deep,223,MC3h,MCAV,6,1902,MC3,1.125751968,-0.351268951,1.477020919,19.41823734
11,19,deep,321,MF1h,OFRA,10,1902,MF1,1.144883713,-0.541404883,1.686288595,19.37331659
12,19,deep,423,ML3h,DLAB,1,1902,ML3,1.360193708,-0.578304758,1.938498465,19.54097831
13,19,shallow,111,SA1h,PAST,9,1902,SA1,1.170172966,-0.504518696,1.674691663,19.43743876
14,19,shallow,213,SC3h,MCAV,8,1902,SC3,0.527546432,-0.272552236,0.800098668,19.32737559
15,19,shallow,312,SF2h,OFRA,4,1902,SF2,1.076266856,-0.521763825,1.59803068,19.51754359
16,19,shallow,412,SL2h,DLAB,5,1902,SL2,1.001582012,-0.507843393,1.509425405,19.4272079
17,19,deep,122,MA2h,PAST,4,1903,MA2,0.987806412,-0.314416364,1.302222776,19.52591664
18,19,deep,222,MC2h,MCAV,1,1903,MC2,0.89314929,-0.330866505,1.224015795,19.38141505
19,19,deep,323,MF3h,OFRA,9,1903,MF3,1.296480959,-0.449090662,1.745571621,19.46885385
20,19,deep,421,ML1h,DLAB,10,1903,ML1,1.360166486,-0.441878805,1.802045291,19.4554085
21,19,shallow,113,SA3h,PAST,7,1903,SA3,0.837244928,-0.330332739,1.167577667,19.63536442
22,19,shallow,212,SC2h,MCAV,5,1903,SC2,0.618123686,-0.162198543,0.780322229,19.42516778
23,19,shallow,311,SF1h,OFRA,6,1903,SF1,0.656166159,-0.338754333,0.994920492,19.24252437
24,19,shallow,411,SL1h,DLAB,2,1903,SL1,1.052689642,-0.521212654,1.573902296,19.44540683
25,21,deep,121,MA1d,PAST,1,2101,MA1,1.16963034,-0.346890996,1.516521337,21.43132168
26,21,deep,221,MC1d,MCAV,6,2101,MC1,0.701898919,-0.664235588,1.366134508,21.33463889
27,21,deep,322,MF2d,OFRA,2,2101,MF2,0.955616182,-0.437956876,1.393573057,21.31411036
28,21,deep,423,ML3d,DLAB,9,2101,ML3,1.372821135,-0.631776948,2.004598083,21.35431738
29,21,shallow,111,SA1d,PAST,8,2101,SA1,1.610262712,-0.512328147,2.122590859,21.2284386
30,21,shallow,212,SC2d,MCAV,4,2101,SC2,1.091090124,-0.316559758,1.407649882,21.28006823
31,21,shallow,313,SF3d,OFRA,10,2101,SF3,1.139253494,-0.371621244,1.510874738,21.38940615
32,21,shallow,413,SL3d,DLAB,7,2101,SL3,2.168922257,-0.789464391,2.958386648,21.4866998
33,21,deep,123,MA3d,PAST,2,2102,MA3,1.108795537,-0.457194324,1.565989862,21.35469137
34,21,deep,221,MC3d,MCAV,10,2102,MC3,1.090409766,-0.355648851,1.446058617,21.56294319
35,21,deep,323,MF3d,OFRA,7,2102,MF3,1.611396663,-0.776184058,2.387580721,21.81094919
36,21,deep,422,ML2d,DLAB,5,2102,ML2,1.459863652,-0.579180968,2.03904462,21.30231303
37,21,shallow,112,SA2d,PAST,4,2102,SA2,0.936774489,-0.40477624,1.341550729,21.29235552
38,21,shallow,211,SC1d,MCAV,9,2102,SC1,1.614396495,-0.457569547,2.071966042,21.41011265
39,21,shallow,311,SF1d,OFRA,3,2102,SF1,1.227717297,-0.539080034,1.76679733,21.34568452
40,21,shallow,411,SL1d,DLAB,6,2102,SL1,1.290199313,-0.694014226,1.984213539,21.29802436
41,21,deep,122,MA2d,PAST,6,2103,MA2,0.430670078,-0.276250858,0.706920936,21.55061717
42,21,deep,222,MC2d,MCAV,9,2103,MC2,1.034215238,-0.351639954,1.385855192,21.69817146
43,21,deep,321,MF1d,OFRA,1,2103,MF1,1.41363625,-0.578405535,1.992041785,21.36179573
44,21,deep,421,ML1d,DLAB,7,2103,ML1,2.518998869,-0.684017862,3.203016731,21.75777109
45,21,shallow,113,SA3d,PAST,10,2103,SA3,1.092170936,-0.480665251,1.572836187,21.64916512
46,21,shallow,213,SC3d,MCAV,3,2103,SC3,0.972163626,-0.29012179,1.262285416,21.41765629
47,21,shallow,312,SF2d,OFRA,2,2103,SF2,1.08641242,-0.482442453,1.568854873,21.31593651
48,21,shallow,412,SL2d,DLAB,4,2103,SL2,1.491846439,-0.465332141,1.95717858,21.48073132
49,23,deep,121,MA1c,PAST,7,2301,MA1,1.413312026,-0.579213478,1.992525504,23.38708534
50,23,deep,221,MC1c,MCAV,5,2301,MC1,0.913862025,-0.308525622,1.222387648,23.19441924
51,23,deep,321,MF1c,OFRA,9,2301,MF1,1.28568589,-0.612444676,1.898130565,23.31449428
52,23,deep,423,ML3c,DLAB,2,2301,ML3,0.969214292,-0.388299946,1.357514239,23.1716544
53,23,shallow,111,SA1c,PAST,6,2301,SA1,1.314485572,-0.729891113,2.044376685,23.19932241
54,23,shallow,212,SC2c,MCAV,10,2301,SC2,1.103134125,-0.497716828,1.600850953,23.34060855
55,23,shallow,313,SF3c,OFRA,8,2301,SF3,1.125508676,-0.514757907,1.640266583,23.21772683
56,23,shallow,412,SL2c,DLAB,3,2301,SL2,1.881190975,-0.841875292,2.723066266,23.26632124
57,23,deep,122,MA2c,PAST,8,2302,MA2,0.700023097,-0.447164566,1.147187663,23.11630905
58,23,deep,223,MC3c,MCAV,2,2302,MC3,1.335933689,-0.454033109,1.789966798,23.35580864
59,23,deep,323,MF3c,OFRA,10,2302,MF3,1.133259337,-0.516561505,1.649820842,23.23559216
60,23,deep,421,ML1c,DLAB,5,2302,ML1,1.990004897,-0.487329789,2.477334686,23.23276471
61,23,shallow,112,SA2c,PAST,1,2302,SA2,1.21221871,-0.493747909,1.70596662,23.4373791
62,23,shallow,213,SC3c,MCAV,7,2302,SC3,1.033825168,-0.367912707,1.401737875,23.53801811
63,23,shallow,311,SF1c,OFRA,3,2302,SF1,1.282369316,-0.499787855,1.782157172,23.38305233
64,23,shallow,411,SL1c,DLAB,6,2302,SL1,1.46888684,-0.678744234,2.147631075,23.23404895
65,23,deep,123,MA3c,PAST,10,2303,MA3,0.984363869,-0.434015663,1.418379532,23.49240944
66,23,deep,222,MC2c,MCAV,4,2303,MC2,0.807092173,-0.367428301,1.174520474,23.4442848
67,23,deep,322,MF2c,OFRA,1,2303,MF2,1.31802148,-0.593591187,1.911612667,23.45262312
68,23,deep,422,ML2c,DLAB,8,2303,ML2,1.664173084,-0.501059632,2.165232715,23.47896159
69,23,shallow,113,SA3c,PAST,9,2303,SA3,1.229679509,-0.452400535,1.682080044,23.67068584
70,23,shallow,211,SC1c,MCAV,5,2303,SC1,0.920438995,-0.221621093,1.142060089,23.50212295
71,23,shallow,312,SF2c,OFRA,6,2303,SF2,1.752335374,-0.714225252,2.466560626,23.45811559
72,23,shallow,413,SL3c,DLAB,7,2303,SL3,1.17577401,-0.566456265,1.742230275,23.6235708
73,26,deep,122,MA2b,PAST,10,2601,MA2,1.061213894,-0.452151358,1.513365251,26.48121738
74,26,deep,221,MC1b,MCAV,3,2601,MC1,1.350595854,-0.42043732,1.771033174,26.39464639
75,26,deep,323,MF3b,OFRA,8,2601,MF3,2.388250383,-0.953493551,3.341743933,26.33568823
76,26,deep,423,ML3b,DLAB,7,2601,ML3,1.579116055,-0.723917808,2.303033863,26.45806736
77,26,shallow,111,SA1b,PAST,2,2601,SA1,1.667530637,-0.742409348,2.409939985,26.38416179
78,26,shallow,211,SC1b,MCAV,6,2601,SC1,1.146602752,-0.300146038,1.44674879,26.24721341
79,26,shallow,311,SF1b,OFRA,1,2601,SF1,1.523382575,-0.799759031,2.323141607,26.5115418
80,26,shallow,413,SL3b,DLAB,9,2601,SL3,2.175196365,-0.978372864,3.153569229,26.45838748
81,26,deep,121,MA1b,PAST,8,2603,MA1,1.738759601,-0.610709545,2.349469146,26.414376
82,26,deep,223,MC3b,MCAV,1,2603,MC3,1.666840092,-0.521359329,2.188199421,26.66611022
83,26,deep,322,MF2b,OFRA,4,2603,MF2,1.518757437,-0.640305123,2.15906256,26.64956683
84,26,deep,422,ML2b,DLAB,5,2603,ML2,1.565477182,-0.537432729,2.10290991,26.4149312
85,26,shallow,112,SA2b,PAST,7,2603,SA2,1.108470864,-0.464808833,1.573279697,26.62161976
86,26,shallow,213,SC3b,MCAV,9,2603,SC3,0.968725769,-0.305539785,1.274265554,26.58068118
87,26,shallow,312,SF2b,OFRA,3,2603,SF2,1.400868433,-0.607956158,2.008824591,26.52305556
88,26,shallow,412,SL2b,DLAB,6,2603,SL2,1.868387286,-0.608039514,2.4764268,26.36200303
89,29,deep,122,MA2e,PAST,8,2901,MA2,0.636638194,-0.364147752,1.000785946,29.17680917
90,29,deep,222,MC2e,MCAV,3,2901,MC2,1.063230474,-0.375528738,1.438759211,29.17735642
91,29,deep,321,MF1e,OFRA,1,2901,MF1,1.821744791,-0.657433278,2.479178069,29.15917234
92,29,deep,421,ML1e,DLAB,10,2901,ML1,1.933386355,-0.654517548,2.587903903,29.1892965
93,29,shallow,113,SA3e,PAST,7,2901,SA3,1.243343268,-0.51333127,1.756674538,29.38080358
94,29,shallow,311,SF1e,OFRA,2,2901,SF1,1.107227186,-0.669795079,1.777022265,29.11346919
95,29,shallow,413,SL3e,DLAB,6,2901,SL3,1.600990649,-0.629122754,2.230113404,29.12001561
96,29,deep,123,MA3e,PAST,8,2902,MA3,1.505757836,-0.655340322,2.161098158,29.14209864
97,29,deep,223,MC3e,MCAV,5,2902,MC3,1.522345156,-0.511957438,2.034302593,29.28647027
98,29,deep,323,MF3e,OFRA,1,2902,MF3,1.164474924,-0.881288295,2.04576322,29.3275485
99,29,deep,422,ML2e,DLAB,3,2902,ML2,1.943753356,-0.657182906,2.600936263,29.31580449
100,29,shallow,112,SA2e,PAST,6,2902,SA2,0.948870161,-0.385158681,1.334028842,29.26799449
101,29,shallow,211,SC1e,MCAV,10,2902,SC1,1.232058188,-0.424806628,1.656864816,29.31904935
102,29,shallow,213,SC3e,MCAV,2,2902,SC3,1.064292686,-0.612523708,1.676816393,29.18999112
103,29,shallow,313,SF3e,OFRA,7,2902,SF3,1.546105405,-0.709543377,2.255648781,29.39211442
104,29,shallow,412,SL2e,DLAB,9,2902,SL2,1.885883443,-0.804730225,2.690613668,29.20741993
105,29,deep,121,MA1e,PAST,6,2903,MA1,1.500376717,-0.555588209,2.055964927,29.64000079
106,29,deep,221,MC1e,MCAV,10,2903,MC1,1.038066369,-0.333563028,1.371629397,29.6035194
107,29,deep,322,MF2e,OFRA,2,2903,MF2,1.41707083,-0.765948437,2.183019268,29.69579531
108,29,deep,423,ML3e,DLAB,8,2903,ML3,1.763446027,-0.781239913,2.54468594,29.58312952
109,29,shallow,111,SA1e,PAST,1,2903,SA1,0.704521307,-0.757063813,1.461585119,29.71934522
110,29,shallow,212,SC2e,MCAV,9,2903,SC2,0.982720116,-0.409857827,1.392577943,29.72270752
111,29,shallow,312,SF2e,OFRA,5,2903,SF2,1.477917506,-0.622574959,2.100492465,29.64996921
112,29,shallow,411,SL1e,DLAB,4,2903,SL1,1.55165615,-0.734324106,2.285980256,29.74243066
113,32,deep,122,MA2g,PAST,9,3201,MA2,1.067982684,-0.651674506,1.71965719,32.04266575
114,32,deep,221,MC1g,MCAV,6,3201,MC1,0.667990058,-0.440783787,1.108773844,31.92932672
115,32,deep,323,MF3g,OFRA,10,3201,MF3,1.191182595,-0.754178847,1.945361443,31.86267472
116,32,deep,422,ML2g,DLAB,3,3201,ML2,1.748181309,-0.782387259,2.530568568,31.92129722
117,32,shallow,111,SA1g,PAST,4,3201,SA1,0.833692323,-0.58521096,1.418903283,31.94293211
118,32,shallow,213,SC3g,MCAV,5,3201,SC3,0.625269351,-0.415265754,1.040535106,31.78477369
119,32,shallow,312,SF2g,OFRA,2,3201,SF2,2.159040621,-1.216962157,3.376002778,31.95707573
120,32,shallow,413,SL3g,DLAB,1,3201,SL3,1.563651249,-1.009473286,2.573124536,31.98552628
121,32,deep,121,MA1g,PAST,8,3202,MA1,1.218680834,-0.699050806,1.91773164,32.20543966
122,32,deep,222,MC2g,MCAV,4,3202,MC2,0.757922121,-0.51081288,1.268735002,32.24108622
123,32,deep,322,MF2g,OFRA,10,3202,MF2,0.850981211,-0.545232886,1.396214096,32.36540682
124,32,deep,423,ML3g,DLAB,7,3202,ML3,1.346012017,-0.828438309,2.174450326,32.45253357
125,32,shallow,112,SA2g,PAST,1,3202,SA2,0.894234047,-0.525290878,1.419524925,32.40904467
126,32,shallow,211,SC1g,MCAV,5,3202,SC1,0.9971037,-0.417867221,1.41497092,29.88560301
127,32,shallow,313,SF3g,OFRA,9,3202,SF3,1.423603232,-0.930910015,2.354513247,32.31384154
128,32,shallow,412,SL2g,DLAB,2,3202,SL2,1.393623156,-0.771514141,2.165137297,32.32889807
129,32,deep,123,MA3g,PAST,8,3203,MA3,0.11936633,-0.655169676,0.774536006,32.52558868
130,32,deep,223,MC3g,MCAV,5,3203,MC3,0.560805087,-0.443471991,1.004277078,32.88026048
131,32,deep,321,MF1g,OFRA,3,3203,MF1,0.606696739,-1.050441154,1.657137893,32.77720881
132,32,deep,421,ML1g,DLAB,10,3203,ML1,0.842079196,-0.636331313,1.478410509,32.71384668
133,32,shallow,113,SA3g,PAST,9,3203,SA3,-0.033098739,-0.592273553,0.559174814,32.67825481
134,32,shallow,212,SC2g,MCAV,7,3203,SC2,0.277890536,-0.714058698,0.991949234,33.03472995
135,32,shallow,311,SF1g,OFRA,6,3203,SF1,0.031561729,-0.870187967,0.901749696,32.88679734
136,32,shallow,411,SL1g,DLAB,4,3203,SL1,-0.271940155,-0.945697399,0.673757244,32.98600666
137,34,deep,123,MA3f,PAST,1,3401,MA3,0.140123084,-0.55433904,0.694462124,34.1739975
138,34,deep,221,MC1f,MCAV,8,3401,MC1,0.119141713,-0.684285108,0.803426821,34.2096512
139,34,deep,323,MF3f,OFRA,6,3401,MF3,-0.357600125,-0.867897882,0.510297757,34.16675433
140,34,deep,322,ML2f,DLAB,3,3401,ML2,0.651105685,-0.54252502,1.193630705,34.28978529
141,34,shallow,113,SA3f,PAST,5,3401,SA3,-0.133737393,-0.443191684,0.30945429,34.1245101
142,34,shallow,211,SC1f,MCAV,2,3401,SC1,0.440334823,-0.591621397,1.03195622,34.29580713
143,34,shallow,311,SF1f,OFRA,9,3401,SF1,-0.555646012,-0.931978592,0.37633258,34.29568771
144,34,shallow,413,SL3f,DLAB,10,3401,SL3,0.072957448,-0.741289834,0.814247282,34.47014998
145,34,deep,122,MA2f,PAST,10,3402,MA2,-0.017951333,-0.493500781,0.475549449,34.29808099
146,34,deep,223,MC3f,MCAV,2,3402,MC3,0.475723926,-0.689950262,1.165674188,34.1725818
147,34,deep,321,MF1f,OFRA,7,3402,MF1,-0.327656266,-1.045544708,0.717888442,34.27270203
148,34,deep,421,ML1f,DLAB,4,3402,ML1,0.796006415,-0.86970935,1.665715765,34.12621505
149,34,shallow,112,SA2f,PAST,3,3402,SA2,-0.055723508,-0.48848033,0.432756823,34.19135748
150,34,shallow,213,SC3f,MCAV,5,3402,SC3,0.39078587,-0.386693193,0.777479063,34.02032819
151,34,shallow,313,SF3f,OFRA,6,3402,SF3,-0.278277125,-0.764595312,0.486318187,34.09952283
152,34,shallow,411,SL1f,DLAB,9,3402,SL1,-0.665003827,-1.109389369,0.444385542,34.23016398
153,34,deep,121,MA1f,PAST,7,3403,MA1,0.4129743,-0.826569022,1.239543321,34.31177156
154,34,deep,222,MC2f,MCAV,8,3403,MC2,0.562563278,-0.823603775,1.386167053,34.36609709
155,34,deep,322,MF2f,OFRA,9,3403,MF2,-0.47269118,-1.055415955,0.582724774,34.52792166
156,34,deep,423,ML3f,DLAB,1,3403,ML3,0.304837909,-0.809098529,1.113936438,33.9573203
157,34,shallow,111,SA1f,PAST,2,3403,SA1,0.525575492,-0.782731694,1.308307187,33.97027442
158,34,shallow,212,SC2f,MCAV,3,3403,SC2,0.696362608,-0.576655285,1.273017893,34.18194159
159,34,shallow,312,SF2f,OFRA,10,3403,SF2,-0.499271709,-0.838339774,0.339068066,34.35795248
160,34,shallow,412,SL2f,DLAB,4,3403,SL2,0.803200302,-0.692203491,1.495403793,34.05821871
161,36,deep,123,MA3a,PAST,8,3601,MA3,-0.773272395,-0.835697565,0.062425169,35.98028902
162,36,deep,222,MC2a,MCAV,1,3601,MC2,-0.518543394,-0.652336232,0.133792838,36.03476467
163,36,deep,321,MF1a,OFRA,9,3601,MF1,-1.14469966,-1.205674919,0.06097526,36.00273119
164,36,deep,422,ML2a,DLAB,7,3601,ML2,-0.574659451,-0.772858021,0.19819857,36.01092353
165,36,shallow,113,SA3a,PAST,4,3601,SA3,-0.514575732,-0.587956209,0.073380477,35.86585879
166,36,shallow,213,SC3a,MCAV,10,3601,SC3,-0.359930491,-0.402215476,0.042284985,36.07974333
167,36,shallow,311,SF1a,OFRA,2,3601,SF1,-0.723828601,-0.879676053,0.155847452,35.90139174
168,36,shallow,411,SL1a,DLAB,6,3601,SL1,-0.588243079,-0.940201777,0.351958697,35.57616344
169,36,deep,121,MA1a,PAST,4,3602,MA1,-0.610194295,-0.769856924,0.15966263,36.12269838
170,36,deep,223,MC3a,MCAV,9,3602,MC3,-0.556819584,-0.72352688,0.166707297,36.34353913
171,36,deep,323,MF3a,OFRA,1,3602,MF3,-0.619755644,-0.780660937,0.160905293,36.07738839
172,36,deep,421,ML1a,DLAB,6,3602,ML1,-0.82309878,-1.024792741,0.201693961,36.09120526
173,36,shallow,111,SA1a,PAST,8,3602,SA1,-0.916653428,-0.858570271,0,36.25392136
174,36,shallow,211,SC1a,MCAV,5,3602,SC1,-0.263837405,-0.458418395,0.19458099,36.03679928
175,36,shallow,313,SF3a,OFRA,10,3602,SF3,-0.431559811,-0.557073043,0.125513231,36.4024045
176,36,shallow,413,SL3a,DLAB,2,3602,SL3,-1.037017661,-1.48049908,0.443481418,36.1313676
177,36,deep,122,MA2a,PAST,3,3603,MA2,-0.294105809,-0.289991301,0,37.05511464
178,36,deep,221,MC1a,MCAV,5,3603,MC1,-0.310075525,-0.357490618,0.047415093,36.79108227
179,36,deep,322,MF2a,OFRA,1,3603,MF2,-0.536662167,-0.699637856,0.16297569,36.97461759
180,36,deep,423,ML3a,DLAB,2,3603,ML3,-0.530512952,-0.70694377,0.176430818,36.98745242
181,36,shallow,112,SA2a,PAST,9,3603,SA2,-0.781207513,-0.926035958,0.144828445,36.94117483
182,36,shallow,212,SC2a,MCAV,8,3603,SC2,-0.649116408,-0.70422516,0.055108752,36.90388562
183,36,shallow,312,SF2a,OFRA,6,3603,SF2,-0.520171165,-0.733542455,0.21337129,36.80169557
184,36,shallow,412,SL2a,DLAB,4,3603,SL2,-0.459089533,-0.645093596,0.186004064,36.87407531
